id,timestamp,id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1747342600270,0.0,-0.1,0.31,2.07,-114.38,47.24,-48.28
1,1747342600280,1.0,-0.1,0.31,2.07,-114.38,47.24,-48.28
2,1747342600290,2.5,0.03,0.46,2.06,-82.4,197.45,-58.9
3,1747342600300,4.0,0.03,0.46,2.06,-82.4,197.45,-58.9
4,1747342600310,5.5,0.03,0.46,2.06,-82.4,197.45,-58.9
5,1747342600320,7.5,0.03,0.46,2.06,-82.4,197.45,-58.9
6,1747342600330,9.0,-0.07,0.45,1.33,-85.08,188.35,-108.46
7,1747342600340,10.5,-0.07,0.45,1.33,-85.08,188.35,-108.46
8,1747342600350,12.5,-0.07,0.45,1.33,-85.08,188.35,-108.46
9,1747342600360,14.5,-0.015000000000000003,0.46499999999999997,1.1400000000000001,-85.08,188.35,-108.46
10,1747342600370,16.5,0.04,0.48,0.95,-99.49,117.25,-97.96
11,1747342600380,19.0,0.04,0.48,0.9499999999999998,-99.49,117.25,-97.96
12,1747342600390,21.0,0.04,0.48,0.95,-99.49,117.25,-97.96
13,1747342600400,22.5,0.04,0.48,0.95,-99.49,117.25,-97.96
14,1747342600410,24.5,0.31,0.37,0.49,-98.69,136.11,-109.86
15,1747342600420,27.0,0.31,0.36999999999999994,0.49,-98.69,136.11,-109.86
16,1747342600430,29.5,0.31,0.37,0.49,-98.69,136.11,-109.86
17,1747342600440,31.5,0.495,0.245,0.22,-134.55,180.175,-106.22999999999999
18,1747342600450,33.0,0.68,0.12,-0.05,-170.41,224.24,-102.6
19,1747342600460,34.5,0.68,0.12,-0.05,-170.41,224.24,-102.6
20,1747342600470,36.5,0.68,0.12,-0.05,-170.41,224.24,-102.6
21,1747342600480,38.5,0.47,0.44,0.09,76.9,224.79,-119.02
22,1747342600490,40.5,0.47,0.44,0.09,76.9,224.79,-119.02
23,1747342600500,42.0,0.47,0.44,0.09,76.9,224.79,-119.02
24,1747342600510,43.5,0.47,0.44,0.09,76.9,224.79,-119.02
25,1747342600520,45.0,0.21,0.48,0.0,101.07,169.62,30.76
26,1747342600530,46.0,0.21,0.48,0.0,101.07,169.62,30.76
27,1747342600540,47.5,0.21,0.48,0.0,101.07,169.62,30.76
28,1747342600550,50.0,0.44333333333333336,0.22666666666666666,0.11333333333333334,101.07,169.62,30.76
29,1747342600560,52.5,0.91,-0.28,0.34,-36.93,184.69,168.52
30,1747342600570,54.5,0.91,-0.28,0.34,-36.93,184.69,168.52
31,1747342600580,57.0,0.91,-0.28,0.34,-36.93,184.68999999999997,168.52
32,1747342600590,59.5,0.405,-0.010000000000000009,0.775,22.855,125.12,66.775
33,1747342600600,62.0,-0.10000000000000002,0.26,1.21,82.64,65.55,-34.97
34,1747342600610,64.5,-0.1,0.26,1.21,82.64,65.55,-34.97
35,1747342600620,66.5,-0.1,0.26,1.21,82.64,65.55,-34.97
36,1747342600630,68.5,-0.060000000000000005,0.395,1.0,131.315,-64.66999999999999,30.61
37,1747342600640,70.5,-0.02,0.53,0.79,179.99,-194.89,96.19
